Postal Code,Area Names
00100,Postitalo Kamppi Leppäsuo Etu-Töölö
00102,Eduskunta
00120,Punavuori
00130,Kaartinkaupunki
00140,Ullanlinna Kaivopuisto
00150,Eira
00160,Katajanokka
00170,Kruununhaka
00180,Ruoholahti Jätkäsaari
00190,Suomenlinna
00200,Lauttasaari
00210,Lauttasaari Vattuniemi
00220,Jätkäsaari
00230,Pasila postikeskus
00240,Länsi-Pasila
00250,Laakso Meilahti Taka-Töölö
00260,Taka-Töölö
00270,Laakso Meilahti
00280,Ruskeasuo
00290,Meilahden sairaala-alue
00300,Pikku Huopalahti Ruskeasuo
00310,Kivihaka
00320,Etelä-Haaga
00330,Munkkiniemi
00340,Lehtisaari Kaskisaari Kuusisaari
00350,Munkkivuori Niemenmäki
00360,Pajamäki
00370,Pitäjänmäki Reimarla
00380,Pitäjänmäen yritysalue
00390,Konala
00400,Pohjois-Haaga
00410,Malminkartano Honkasuo
00420,Kannelmäki
00430,Hakuninmaa Maununneva Kuninkaantammi
00440,Lassila
00500,Sörnäinen
00510,Alppila Vallila
00520,Itä-Pasila
00530,Hakaniemi Kallio Siltasaari Merihaka
00540,Hanasaari Kalasatama Sompasaari Sörnäinen
00550,Hermanni Toukola Vallila
00560,Kumpula Toukola Vanhakaupunki Viikki
00570,Kulosaari Mustikkamaa–Korkeasaari
00580,Hermanni Sörnäinen
00590,Laajasalo Kruunuvuorenranta
00600,Käpylä Koskela
00610,Käpylä
00620,Metsälä
00630,Maunula
00640,Oulunkylä Patola
00650,Oulunkylä Veräjämäki
00660,Länsi-Pakila
00670,Paloheinä
00680,Itä-Pakila
00690,Torpparinmäki Tuomarinkylä
00700,Malmi
00710,Pihlajisto Pihlajamäki
00720,Pukinmäki Savela
00730,Malmi Tapaninkylä Tapanila
00740,Siltamäki Suutarila Töyrynummi
00750,Puistola Tapulikaupunki Ala-Tikkurila
00760,Puistola Sirkkalanmäki Heikinlaakso
00770,Tattarisuo Alppikylä Jakomäki
00780,Tapaninvainio
00790,Viikki Latokartano
00800,Herttoniemi
00810,Herttoniemenranta
00820,Roihuvuori
00830,Tammisalo
00840,Laajasalo Yliskylä
00850,Laajasalo Jollas Villinki
00860,Santahamina Vallisaari
00870,Laajasalo Yliskylä
00880,Herttoniemi Roihupelto
00890,Östersundom Karhusaari Talosaari (entinen 01100 Itäsalmi / Östersundom)
00900,Puotinharju Itäkeskus Vartiokylä
00910,Puotila
00920,Myllypuro
00930,Itäkeskus Marjaniemi
00940,Kontula Kivikko Mellunkylä
00950,Vartioharju
00960,Vuosaari Porslahti
00970,Mellunmäki Mellunkylä Uutela
00980,Vuosaari Meri-Rastila
00990,Vuosaari Aurinkolahti
